A1|Dressing for one wound
G9661|"Patients greater than 85 years of age who received a routine colonoscopy for a reason other than the following:  an assessment of signs/symptoms of gi tract illness, and/or the patient is considered high risk, and/or to follow-up on previously diagnoses advance lesions"
G9662|Previously diagnosed or have an active diagnosis of clinical ascvd
G9663|Any fasting or direct ldl-c laboratory test result = 190 mg/dl
G9664|Patients who are currently statin therapy users or received an order (prescription) for statin therapy
G9665|Patients who are not currently statin therapy users or did not receive an order (prescription) for statin therapy
G9666|The highest fasting or direct ldl-c laboratory test result of 70?189 mg/dl in the measurement period or two years prior to the beginning of the measurement period
G9667|"Documentation of medical reason (s) for not currently being a statin   therapy user or receive an order (prescription) for statin therapy (e.g., patient with adverse effect, allergy or intolerance to statin medication therapy, patients who have an active diagnosis of pregnancy or who are breastfeeding, patients who are receiving palliative care, patients with active liver disease or hepatic disease or insufficiency, patients with end stage renal disease (esrd), and patients with diabetes who have a fasting or direct ldl-c laboratory test result < 70 mg/dl and are not taking statin therapy)"
G9668|"Documentation of medical reason (s) for not currently being a statin therapy user or receive an order (prescription) for statin therapy (e.g., patient with adverse effect, allergy or intolerance to statin medication therapy, patients who have an active diagnosis of pregnancy or who are breastfeeding, patients who are receiving palliative care, patients with active liver disease or hepatic disease or insufficiency, patients with end stage renal disease (esrd), and patients with diabetes who have a fasting or direct ldl-c laboratory test result < 70 mg/dl and are not taking statin therapy)"
G9669|I intend to report the multiple chronic conditions measures group
G9670|All quality actions for the applicable measures in the multiple chronic conditions measures group have been performed for this patient
G9671|I intend to report the diabetic retinopathy measures group
G9672|All quality actions for the applicable measures in the diabetic retinopathy measures group have been performed for this patient
G9673|I intend to report the cardiovascular prevention measures group
G9674|Patients with clinical ascvd diagnosis
G9675|Patients who have ever had a fasting or direct laboratory result of ldl-c = 190 mg/dl
G9676|Patients aged 40 to 75 years at the beginning of the measurement period with type 1 or type 2 diabetes and with an ldl-c result of 70?189 mg/dl recorded as the highest fasting or direct laboratory test result in the measurement year or during the two years prior to the beginning of the measurement period
G9677|All quality actions for the applicable measures in the cardiovascular prevention measures group have been performed for this patient
H0001|Alcohol and/or drug assessment
H0002|Behavioral health screening to determine eligibility for admission to treatment program
H0003|Alcohol and/or drug screening; laboratory analysis of specimens for presence of alcohol and/or drugs
H0004|"Behavioral health counseling and therapy, per 15 minutes"
H0005|Alcohol and/or drug services; group counseling by a clinician
H0006|Alcohol and/or drug services; case management
H0007|Alcohol and/or drug services; crisis intervention (outpatient)
H0008|Alcohol and/or drug services; sub-acute detoxification (hospital inpatient)
H0009|Alcohol and/or drug services; acute detoxification (hospital inpatient)
H0010|Alcohol and/or drug services; sub-acute detoxification (residential addiction program inpatient)
H0011|Alcohol and/or drug services; acute detoxification (residential addiction program inpatient)
H0012|Alcohol and/or drug services; sub-acute detoxification (residential addiction program outpatient)
H0013|Alcohol and/or drug services; acute detoxification (residential addiction program outpatient)
H0014|Alcohol and/or drug services; ambulatory detoxification
H0015|"Alcohol and/or drug services; intensive outpatient (treatment program that operates at least 3 hours/day and at least 3 days/week and is based on an individualized treatment plan), including assessment, counseling; crisis intervention, and activity therapies or education"
H0016|Alcohol and/or drug services; medical/somatic (medical intervention in ambulatory setting)
H0017|"Behavioral health; residential (hospital residential treatment program), without room and board, per diem"
H0018|"Behavioral health; short-term residential (non-hospital residential treatment program), without room and board, per diem"
H0019|"Behavioral health; long-term residential (non-medical, non-acute care in a residential treatment program where stay is typically longer than 30 days), without room and board, per diem"
H0020|Alcohol and/or drug services; methadone administration and/or service (provision of the drug by a licensed program)
H0021|Alcohol and/or drug training service (for staff and personnel not employed by providers)
H0022|Alcohol and/or drug intervention service (planned facilitation)
H0023|Behavioral health outreach service (planned approach to reach a targeted population)
H0024|Behavioral health prevention information dissemination service (one-way direct or non-direct contact with service audiences to affect knowledge and attitude)
H0025|"Behavioral health prevention education service (delivery of services with target population to affect knowledge, attitude and/or behavior)"
H0026|"Alcohol and/or drug prevention process service, community-based (delivery of services to develop skills of impactors)"
H0027|Alcohol and/or drug prevention environmental service (broad range of external activities geared toward modifying systems in order to mainstream prevention through policy and law)
H0028|"Alcohol and/or drug prevention problem identification and referral service (e.g., student assistance and employee assistance programs), does not include assessment"
H0029|"Alcohol and/or drug prevention alternatives service (services for populations that exclude alcohol and other drug use e.g., alcohol free social events)"
H0030|Behavioral health hotline service
H0031|"Mental health assessment, by non-physician"
H0032|Mental health service plan development by non-physician
H0033|"Oral medication administration, direct observation"
H0034|"Medication training and support, per 15 minutes"
H0035|"Mental health partial hospitalization, treatment, less than 24 hours"
H0036|"Community psychiatric supportive treatment, face-to-face, per 15 minutes"
H0037|"Community psychiatric supportive treatment program, per diem"
H0038|"Self-help/peer services, per 15 minutes"
H0039|"Assertive community treatment, face-to-face, per 15 minutes"
H0040|"Assertive community treatment program, per diem"
H0041|"Foster care, child, non-therapeutic, per diem"
H0042|"Foster care, child, non-therapeutic, per month"
H0043|"Supported housing, per diem"
H0044|"Supported housing, per month"
H0045|"Respite care services, not in the home, per diem"
H0046|"Mental health services, not otherwise specified"
H0047|"Alcohol and/or other drug abuse services, not otherwise specified"
H0048|"Alcohol and/or other drug testing: collection and handling only, specimens other than blood"
H0049|Alcohol and/or drug screening
H0050|"Alcohol and/or drug services, brief intervention, per 15 minutes"
H1000|"Prenatal care, at-risk assessment"
H1001|"Prenatal care, at-risk enhanced service; antepartum management"
H1002|"Prenatal care, at risk enhanced service; care coordination"
H1003|"Prenatal care, at-risk enhanced service; education"
H1004|"Prenatal care, at-risk enhanced service; follow-up home visit"
H1005|"Prenatal care, at-risk enhanced service package (includes h1001-h1004)"
H1010|"Non-medical family planning education, per session"
H1011|Family assessment by licensed behavioral health professional for state defined purposes
H2000|Comprehensive multidisciplinary evaluation
H2001|"Rehabilitation program, per 1/2 day"
H2010|"Comprehensive medication services, per 15 minutes"
H2011|"Crisis intervention service, per 15 minutes"
H2012|"Behavioral health day treatment, per hour"
H2013|"Psychiatric health facility service, per diem"
H2014|"Skills training and development, per 15 minutes"
H2015|"Comprehensive community support services, per 15 minutes"
H2016|"Comprehensive community support services, per diem"
H2017|"Psychosocial rehabilitation services, per 15 minutes"
H2018|"Psychosocial rehabilitation services, per diem"
H2019|"Therapeutic behavioral services, per 15 minutes"
H2020|"Therapeutic behavioral services, per diem"
H2021|"Community-based wrap-around services, per 15 minutes"
H2022|"Community-based wrap-around services, per diem"
H2023|"Supported employment, per 15 minutes"
H2024|"Supported employment, per diem"
H2025|"Ongoing support to maintain employment, per 15 minutes"
H2026|"Ongoing support to maintain employment, per diem"
H2027|"Psychoeducational service, per 15 minutes"
H2028|"Sexual offender treatment service, per 15 minutes"
H2029|"Sexual offender treatment service, per diem"
H2030|"Mental health clubhouse services, per 15 minutes"
H2031|"Mental health clubhouse services, per diem"
H2032|"Activity therapy, per 15 minutes"
H2033|"Multisystemic therapy for juveniles, per 15 minutes"
H2034|"Alcohol and/or drug abuse halfway house services, per diem"
H2035|"Alcohol and/or other drug treatment program, per hour"
H2036|"Alcohol and/or other drug treatment program, per diem"
H2037|"Developmental delay prevention activities, dependent child of client, per 15 minutes"
J0120|"Injection, tetracycline, up to 250 mg"
J0129|"Injection, abatacept, 10 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)"
J0130|"Injection abciximab, 10 mg"
J0131|"Injection, acetaminophen, 10 mg"
J0132|"Injection, acetylcysteine, 100 mg"
J0133|"Injection, acyclovir, 5 mg"
J0135|"Injection, adalimumab, 20 mg"
J0150|"Injection, adenosine for therapeutic use,  6 mg (not to be used to report any adenosine phosphate compounds, instead use a9270)"
J0151|"Injection, adenosine for diagnostic use, 1 mg (not to be used to report any adenosine phosphate compounds, instead use a9270)"
J0152|"Injection, adenosine for diagnostic use, 30 mg (not to be used to report any adenosine phosphate compounds; instead use a9270)"
J0153|"Injection, adenosine, 1 mg (not to be used to report any adenosine phosphate compounds)"
J0171|"Injection, adrenalin, epinephrine, 0.1 mg"
J0178|"Injection, aflibercept, 1 mg"
J0180|"Injection, agalsidase beta, 1 mg"
J0190|"Injection, biperiden lactate, per 5 mg"
J0200|"Injection, alatrofloxacin mesylate, 100 mg"
J0202|"Injection, alemtuzumab, 1 mg"
J0205|"Injection, alglucerase, per 10 units"
J0207|"Injection, amifostine, 500 mg"
J0210|"Injection, methyldopate hcl, up to 250 mg"
J0215|"Injection, alefacept, 0.5 mg"
J0220|"Injection, alglucosidase alfa, 10 mg, not otherwise specified"
J0221|"Injection, alglucosidase alfa, (lumizyme), 10 mg"
J0256|"Injection, alpha 1 proteinase inhibitor (human), not otherwise specified, 10 mg"
J0257|"Injection, alpha 1 proteinase inhibitor (human), (glassia), 10 mg"
J0270|"Injection, alprostadil, 1.25 mcg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)"
J0275|"Alprostadil urethral suppository (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)"
J0278|"Injection, amikacin sulfate, 100 mg"
J0280|"Injection, aminophyllin, up to 250 mg"
J0282|"Injection, amiodarone hydrochloride, 30 mg"
J0285|"Injection, amphotericin b, 50 mg"
J0287|"Injection, amphotericin b lipid complex, 10 mg"
J0288|"Injection, amphotericin b cholesteryl sulfate complex, 10 mg"
J0289|"Injection, amphotericin b liposome, 10 mg"
J0290|"Injection, ampicillin sodium, 500 mg"
J0295|"Injection, ampicillin sodium/sulbactam sodium, per 1.5 gm"
J0300|"Injection, amobarbital, up to 125 mg"
J0330|"Injection, succinylcholine chloride, up to 20 mg"
J0348|"Injection, anidulafungin, 1 mg"
J0350|"Injection, anistreplase, per 30 units"
J0360|"Injection, hydralazine hcl, up to 20 mg"
J0364|"Injection, apomorphine hydrochloride, 1 mg"
J0365|"Injection, aprotonin, 10,000 kiu"
J0380|"Injection, metaraminol bitartrate, per 10 mg"
J0390|"Injection, chloroquine hydrochloride, up to 250 mg"
J0395|"Injection, arbutamine hcl, 1 mg"
J0400|"Injection, aripiprazole, intramuscular, 0.25 mg"
J0401|"Injection, aripiprazole, extended release, 1 mg"
J0456|"Injection, azithromycin, 500 mg"
J0461|"Injection, atropine sulfate, 0.01 mg"
J0470|"Injection, dimercaprol, per 100 mg"
J0475|"Injection, baclofen, 10 mg"
J0476|"Injection, baclofen, 50 mcg for intrathecal trial"
J0480|"Injection, basiliximab, 20 mg"
J0485|"Injection, belatacept, 1 mg"
J0490|"Injection, belimumab, 10 mg"
J0500|"Injection, dicyclomine hcl, up to 20 mg"
J0515|"Injection, benztropine mesylate, per 1 mg"
J0520|"Injection, bethanechol chloride, myotonachol or urecholine, up to 5 mg"
J0558|"Injection, penicillin g benzathine and penicillin g procaine, 100,000 units"
J0561|"Injection, penicillin g benzathine, 100,000 units"
J0571|"Buprenorphine/naloxone, oral, less than or equal to 3 mg buprenorphine"
J0572|"Buprenorphine/naloxone, oral, less than or equal to 3 mg buprenorphine"
J0573|"Buprenorphine/naloxone, oral, greater than 3 mg, but less than or equal to 3.1 to 6 mg"
J0574|"Buprenorphine/naloxone, oral, greater than 6 mg, but less than or equal to 10 mg buprenorphine"
J0575|"Buprenorphine/naloxone, oral, greater than 10 mg buprenorphine"
J0583|"Injection, bivalirudin, 1 mg"
J0585|"Injection, onabotulinumtoxina, 1 unit"
J0586|"Injection, abobotulinumtoxina, 5 units"
J0587|"Injection, rimabotulinumtoxinb, 100 units"
J0588|"Injection, incobotulinumtoxin a, 1 unit"
J0592|"Injection, buprenorphine hydrochloride, 0.1 mg"
J0594|"injection, busulfan, 1 mg"
J0595|"Injection, butorphanol tartrate, 1 mg"
J0596|"Injection, c1 esterase inhibitor (recombinant), ruconest, 10 units"
J0597|"Injection, c-1 esterase inhibitor (human), berinert, 10 units"
J0598|"Injection, c-1 esterase inhibitor (human), cinryze, 10 units"
J0600|"Injection, edetate calcium disodium, up to 1000 mg"
J0610|"Injection, calcium gluconate, per 10 ml"
J0620|"Injection, calcium glycerophosphate and calcium lactate, per 10 ml"
J0630|"Injection, calcitonin salmon, up to 400 units"
J0636|"Injection, calcitriol, 0.1 mcg"
J0637|"Injection, caspofungin acetate, 5 mg"
J0638|"Injection, canakinumab, 1 mg"
J0640|"Injection, leucovorin calcium, per 50 mg"
J0641|"Injection, levoleucovorin calcium, 0.5 mg"
J0670|"Injection, mepivacaine hydrochloride, per 10 ml"
J0690|"Injection, cefazolin sodium, 500 mg"
J0692|"Injection, cefepime hydrochloride, 500 mg"
J0694|"Injection, cefoxitin sodium, 1 gm"
J0695|"Injection, ceftolozane 50 mg and tazobactam 25 mg"
J0696|"Injection, ceftriaxone sodium, per 250 mg"
J0697|"Injection, sterile cefuroxime sodium, per 750 mg"
J0698|"Injection, cefotaxime sodium, per gm"
J0702|"Injection, betamethasone acetate 3 mg and betamethasone sodium phosphate 3 mg"
J0706|"Injection, caffeine citrate, 5 mg"
J0710|"Injection, cephapirin sodium, up to 1 gm"
J0712|"Injection, ceftaroline fosamil, 10 mg"
J0713|"Injection, ceftazidime, per 500 mg"
J0714|"Injection, ceftazidime and avibactam, 0.5 g/0.125 g"
J0715|"Injection, ceftizoxime sodium, per 500 mg"
J0716|"Injection, centruroides immune f(ab)2, up to 120 milligrams"
J0717|"Injection, certolizumab pegol, 1 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)"
J0718|"Injection, certolizumab pegol, 1 mg"
J0720|"Injection, chloramphenicol sodium succinate, up to 1 gm"
J0725|"Injection, chorionic gonadotropin, per 1,000 usp units"
J0735|"Injection, clonidine hydrochloride, 1 mg"
J0740|"Injection, cidofovir, 375 mg"
J0743|"Injection, cilastatin sodium; imipenem, per 250 mg"
J0744|"Injection, ciprofloxacin for intravenous infusion, 200 mg"
J0745|"Injection, codeine phosphate, per 30 mg"
J0760|"Injection, colchicine, per 1mg"
J0770|"Injection, colistimethate sodium, up to 150 mg"
J0775|"Injection, collagenase, clostridium histolyticum, 0.01 mg"
J0780|"Injection, prochlorperazine, up to 10 mg"
J0795|"Injection, corticorelin ovine triflutate, 1 microgram"
J0800|"Injection, corticotropin, up to 40 units"
J0833|"Injection, cosyntropin, not otherwise specified, 0.25 mg"
J0834|"Injection, cosyntropin (cortrosyn), 0.25 mg"
J0840|"Injection, crotalidae polyvalent immune fab (ovine), up to 1 gram"
J0850|"Injection, cytomegalovirus immune globulin intravenous (human), per vial"
J0875|"Injection, dalbavancin, 5mg"
J0878|"Injection, daptomycin, 1 mg"
J0881|"Injection, darbepoetin alfa, 1 microgram (non-esrd use)"
J0882|"Injection, darbepoetin alfa, 1 microgram (for esrd on dialysis)"
J0885|"Injection, epoetin alfa, (for non-esrd use), 1000 units"
J0886|"Injection, epoetin alfa, 1000 units (for esrd on dialysis)"
J0887|"Injection, epoetin beta, 1 microgram, (for esrd on dialysis)"
J0888|"Injection, epoetin beta, 1 microgram, (for non esrd use)"
J0890|"Injection, peginesatide, 0.1 mg (for esrd on dialysis)"
J0894|"Injection, decitabine, 1 mg"
J0895|"Injection, deferoxamine mesylate, 500 mg"
J0897|"Injection, denosumab, 1 mg"
J0900|"Injection, testosterone enanthate and estradiol valerate, up to 1 cc"
J0945|"Injection, brompheniramine maleate, per 10 mg"
J1000|"Injection, depo-estradiol cypionate, up to 5 mg"
J1020|"Injection, methylprednisolone acetate, 20 mg"
J1030|"Injection, methylprednisolone acetate, 40 mg"
J1040|"Injection, methylprednisolone acetate, 80 mg"
J1050|"Injection, medroxyprogesterone acetate, 1 mg"
J1051|"Injection, medroxyprogesterone acetate, 50 mg"
J1055|"Injection, medroxyprogesterone acetate for contraceptive use, 150 mg"
J1056|"Injection, medroxyprogesterone acetate / estradiol cypionate, 5mg / 25mg"
J1060|"Injection, testosterone cypionate and estradiol cypionate, up to 1 ml"
J1070|"Injection, testosterone cypionate, up to 100 mg"
J1071|"Injection, testosterone cypionate, 1 mg"
J1080|"Injection, testosterone cypionate, 1 cc, 200 mg"
J1094|"Injection, dexamethasone acetate, 1 mg"
J1100|"Injection, dexamethasone sodium phosphate, 1 mg"
J1110|"Injection, dihydroergotamine mesylate, per 1 mg"
J1120|"Injection, acetazolamide sodium, up to 500 mg"
J1160|"Injection, digoxin, up to 0.5 mg"
J1162|"Injection, digoxin immune fab (ovine), per vial"
J1165|"Injection, phenytoin sodium, per 50 mg"
J1170|"Injection, hydromorphone, up to 4 mg"
J1180|"Injection, dyphylline, up to 500 mg"
J1190|"Injection, dexrazoxane hydrochloride, per 250 mg"
J1200|"Injection, diphenhydramine hcl, up to 50 mg"
J1205|"Injection, chlorothiazide sodium, per 500 mg"
J1212|"Injection, dmso, dimethyl sulfoxide, 50%, 50 ml"
J1230|"Injection, methadone hcl, up to 10 mg"
J1240|"Injection, dimenhydrinate, up to 50 mg"
J1245|"Injection, dipyridamole, per 10 mg"
J1250|"Injection, dobutamine hydrochloride, per 250 mg"
J1260|"Injection, dolasetron mesylate, 10 mg"
J1265|"Injection, dopamine hcl, 40 mg"
J1267|"Injection, doripenem, 10 mg"
J1270|"Injection, doxercalciferol, 1 mcg"
J1290|"Injection, ecallantide, 1 mg"
J1300|"Injection, eculizumab, 10 mg"
J1320|"Injection, amitriptyline hcl, up to 20 mg"
J1322|"Injection, elosulfase alfa, 1 mg"
J1324|"Injection, enfuvirtide, 1 mg"
J1325|"Injection, epoprostenol, 0.5 mg"
J1327|"Injection, eptifibatide, 5 mg"
J1330|"Injection, ergonovine maleate, up to 0.2 mg"
J1335|"Injection, ertapenem sodium, 500 mg"
J1364|"Injection, erythromycin lactobionate, per 500 mg"
J1380|"Injection, estradiol valerate, up to 10 mg"
J1410|"Injection, estrogen  conjugated, per 25 mg"
J1430|"Injection, ethanolamine oleate, 100 mg"
J1435|"Injection, estrone, per 1 mg"
J1436|"Injection, etidronate disodium, per 300 mg"
J1438|"Injection, etanercept, 25 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)"
J1439|"Injection, ferric carboxymaltose, 1 mg"
J1440|"Injection, filgrastim (g-csf), 300 mcg"
J1441|"Injection, filgrastim (g-csf), 480 mcg"
J1442|"Injection, filgrastim (g-csf), excludes biosimilars, 1 microgram"
J1443|"Injection, ferric pyrophosphate citrate solution, 0.1 mg of iron"
J1446|"Injection, tbo-filgrastim, 5 micrograms"
J1447|"Injection, tbo-filgrastim, 1 microgram"
J1450|"Injection fluconazole, 200 mg"
J1451|"Injection, fomepizole, 15 mg"
J1452|"Injection, fomivirsen sodium, intraocular, 1.65 mg"
J1453|"Injection, fosaprepitant, 1 mg"
J1455|"Injection, foscarnet sodium, per 1000 mg"
J1457|"Injection, gallium nitrate, 1 mg"
J1458|"Injection, galsulfase, 1 mg"
J1459|"Injection, immune globulin (privigen), intravenous, non-lyophilized (e.g., liquid), 500 mg"
J1460|"Injection, gamma globulin, intramuscular, 1 cc"
J1556|"Injection, immune globulin (bivigam), 500 mg"
J1557|"Injection, immune globulin, (gammaplex), intravenous, non-lyophilized (e.g., liquid), 500 mg"
J1559|"Injection, immune globulin (hizentra), 100 mg"
J1560|"Injection, gamma globulin, intramuscular, over 10 cc"
J1561|"Injection, immune globulin, (gamunex-c/gammaked), non-lyophilized (e.g., liquid), 500 mg"
J1562|"Injection, immune globulin (vivaglobin), 100 mg"
J1566|"Injection, immune globulin, intravenous, lyophilized (e.g., powder), not otherwise specified, 500 mg"
J1568|"Injection, immune globulin, (octagam), intravenous, non-lyophilized (e.g., liquid), 500 mg"
J1569|"Injection, immune globulin, (gammagard liquid), non-lyophilized, (e.g., liquid), 500 mg"
J1570|"Injection, ganciclovir sodium, 500 mg"
J1571|"Injection, hepatitis b immune globulin (hepagam b), intramuscular, 0.5 ml"
J1572|"Injection, immune globulin, (flebogamma/flebogamma dif), intravenous, non-lyophilized (e.g., liquid), 500 mg"
J1573|"Injection, hepatitis b immune globulin (hepagam b), intravenous, 0.5 ml"
J1575|"Injection, immune globulin/hyaluronidase, (hyqvia), 100 mg immuneglobulin"
J1580|"Injection, garamycin, gentamicin, up to 80 mg"
J1590|"Injection, gatifloxacin, 10 mg"
J1595|"Injection, glatiramer acetate, 20 mg"
J1599|"Injection, immune globulin, intravenous, non-lyophilized (e.g., liquid), not otherwise specified, 500 mg"
J1600|"Injection, gold sodium thiomalate, up to 50 mg"
J1602|"Injection, golimumab, 1 mg, for intravenous use"
J1610|"Injection, glucagon hydrochloride, per 1 mg"
J1620|"Injection, gonadorelin hydrochloride, per 100 mcg"
J1626|"Injection, granisetron hydrochloride, 100 mcg"
J1630|"Injection, haloperidol, up to 5 mg"
J1631|"Injection, haloperidol decanoate, per 50 mg"
J1640|"Injection, hemin, 1 mg"
J1642|"Injection, heparin sodium, (heparin lock flush), per 10 units"
J1644|"Injection, heparin sodium, per 1000 units"
J1645|"Injection, dalteparin sodium, per 2500 iu"
J1650|"Injection, enoxaparin sodium, 10 mg"
J1652|"Injection, fondaparinux sodium, 0.5 mg"
J1655|"Injection, tinzaparin sodium, 1000 iu"
J1670|"Injection, tetanus immune globulin, human, up to 250 units"
J1675|"Injection, histrelin acetate, 10 micrograms"
J1680|"Injection, human fibrinogen concentrate, 100 mg"
J1700|"Injection, hydrocortisone acetate, up to 25 mg"
J1710|"Injection, hydrocortisone sodium  phosphate, up to 50 mg"
J1720|"Injection, hydrocortisone sodium succinate, up to 100 mg"
J1725|"Injection, hydroxyprogesterone caproate, 1 mg"
J1730|"Injection, diazoxide, up to 300 mg"
J1740|"Injection, ibandronate sodium, 1 mg"
J1741|"Injection, ibuprofen, 100 mg"
J1742|"Injection, ibutilide fumarate, 1 mg"
J1743|"Injection, idursulfase, 1 mg"
J1744|"Injection, icatibant, 1 mg"
J1745|"Injection infliximab, 10 mg"
J1750|"Injection, iron dextran, 50 mg"
J1756|"Injection, iron sucrose, 1 mg"
J1786|"Injection, imiglucerase, 10 units"
J1790|"Injection, droperidol, up to 5 mg"
J1800|"Injection, propranolol hcl, up to 1 mg"
J1810|"Injection, droperidol and fentanyl citrate, up to 2 ml ampule"
J1815|"Injection, insulin, per 5 units"
J1817|"Insulin for administration through dme (i.e., insulin pump) per 50 units"
J1826|"Injection, interferon beta-1a, 30 mcg"
J1830|"Injection interferon beta-1b, 0.25 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)"
J1833|"Injection, isavuconazonium, 1 mg"
J1835|"Injection, itraconazole, 50 mg"
J1840|"Injection, kanamycin sulfate, up to 500 mg"
J1850|"Injection, kanamycin sulfate, up to 75 mg"
J1885|"Injection, ketorolac tromethamine, per 15 mg"
J1890|"Injection, cephalothin sodium, up to 1 gram"
J1930|"Injection, lanreotide, 1 mg"
J1931|"Injection, laronidase, 0.1 mg"
J1940|"Injection, furosemide, up to 20 mg"
J1945|"Injection, lepirudin, 50 mg"
J1950|"Injection, leuprolide acetate (for depot suspension), per 3.75 mg"
J1953|"Injection, levetiracetam, 10 mg"
J1955|"Injection, levocarnitine, per 1 gm"
J1956|"Injection, levofloxacin, 250 mg"
J1960|"Injection, levorphanol tartrate, up to 2 mg"
J1980|"Injection, hyoscyamine sulfate, up to 0.25 mg"
J1990|"Injection, chlordiazepoxide hcl, up to 100 mg"
J2001|"Injection, lidocaine hcl for intravenous infusion, 10 mg"
J2010|"Injection, lincomycin hcl, up to 300 mg"
J2020|"Injection, linezolid, 200 mg"
J2060|"Injection, lorazepam, 2 mg"
J2150|"Injection, mannitol, 25% in 50 ml"
J2170|"Injection, mecasermin, 1 mg"
J2175|"Injection, meperidine hydrochloride, per 100 mg"
J2180|"Injection, meperidine and promethazine hcl, up to 50 mg"
J2185|"Injection, meropenem, 100 mg"
J2210|"Injection, methylergonovine maleate, up to 0.2 mg"
J2212|"Injection, methylnaltrexone, 0.1 mg"
J2248|"Injection, micafungin sodium, 1 mg"
J2250|"Injection, midazolam hydrochloride, per 1 mg"
J2260|"Injection, milrinone lactate, 5 mg"
J2265|"Injection, minocycline hydrochloride, 1 mg"
J2270|"Injection, morphine sulfate, up to 10 mg"
J2271|"Injection, morphine sulfate, 100mg"
J2274|"Injection, morphine sulfate, preservative-free for epidural or intrathecal use, 10 mg"
J2275|"Injection, morphine sulfate (preservative-free sterile solution), per 10 mg"
J2278|"Injection, ziconotide, 1 microgram"
J2280|"Injection, moxifloxacin, 100 mg"
J2300|"Injection, nalbuphine hydrochloride, per 10 mg"
J2310|"Injection, naloxone hydrochloride, per 1 mg"
J2315|"Injection, naltrexone, depot form, 1 mg"
J2320|"Injection, nandrolone decanoate, up to 50 mg"
J2323|"Injection, natalizumab, 1 mg"
J2325|"Injection, nesiritide, 0.1 mg"
J2353|"Injection, octreotide, depot form for intramuscular injection, 1 mg"
J2354|"Injection, octreotide, non-depot form for subcutaneous or intravenous injection, 25 mcg"
J2355|"Injection, oprelvekin, 5 mg"
J2357|"Injection, omalizumab, 5 mg"
J2358|"Injection, olanzapine, long-acting, 1 mg"
J2360|"Injection, orphenadrine citrate, up to 60 mg"
J2370|"Injection, phenylephrine hcl, up to 1 ml"
J2400|"Injection, chloroprocaine hydrochloride, per 30 ml"
J2405|"Injection, ondansetron hydrochloride, per 1 mg"
J2407|"Injection, oritavancin, 10 mg"
J2410|"Injection, oxymorphone hcl, up to 1 mg"
J2425|"Injection, palifermin, 50 micrograms"
J2426|"Injection, paliperidone palmitate extended release, 1 mg"
J2430|"Injection, pamidronate disodium, per 30 mg"
J2440|"Injection, papaverine hcl, up to 60 mg"
J2460|"Injection, oxytetracycline hcl, up to 50 mg"
J2469|"Injection, palonosetron hcl, 25 mcg"
J2501|"Injection, paricalcitol, 1 mcg"
J2502|"Injection, pasireotide long acting, 1 mg"
J2503|"Injection, pegaptanib sodium, 0.3 mg"
J2504|"Injection, pegademase bovine, 25 iu"
J2505|"Injection, pegfilgrastim, 6 mg"
J2507|"Injection, pegloticase, 1 mg"
J2510|"Injection, penicillin g procaine, aqueous, up to 600,000 units"
J2513|"Injection, pentastarch, 10% solution, 100 ml"
J2515|"Injection, pentobarbital sodium, per 50 mg"
J2540|"Injection, penicillin g potassium, up to 600,000 units"
J2543|"Injection, piperacillin sodium/tazobactam sodium, 1 gram/0.125 grams (1.125 grams)"
J2545|"Pentamidine isethionate, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per 300 mg"
J2547|"Injection, peramivir, 1 mg"
J2550|"Injection, promethazine hcl, up to 50 mg"
J2560|"Injection, phenobarbital sodium, up to 120 mg"
J2562|"Injection, plerixafor, 1 mg"
J2590|"Injection, oxytocin, up to 10 units"
J2597|"Injection, desmopressin acetate, per 1 mcg"
J2650|"Injection, prednisolone acetate, up to 1 ml"
J2670|"Injection, tolazoline hcl, up to 25 mg"
J2675|"Injection, progesterone, per 50 mg"
J2680|"Injection, fluphenazine decanoate, up to 25 mg"
J2690|"Injection, procainamide hcl, up to 1 gm"
J2700|"Injection, oxacillin sodium, up to 250 mg"
J2704|"Injection, propofol, 10 mg"
J2710|"Injection, neostigmine methylsulfate, up to 0.5 mg"
J2720|"Injection, protamine sulfate, per 10 mg"
J2724|"Injection, protein c concentrate, intravenous, human, 10 iu"
J2725|"Injection, protirelin, per 250 mcg"
J2730|"Injection, pralidoxime chloride, up to 1 gm"
J2760|"Injection, phentolamine mesylate, up to 5 mg"
J2765|"Injection, metoclopramide hcl, up to 10 mg"
J2770|"Injection, quinupristin/dalfopristin, 500 mg (150/350)"
J2778|"Injection, ranibizumab, 0.1 mg"
J2780|"Injection, ranitidine hydrochloride, 25 mg"
J2783|"Injection, rasburicase, 0.5 mg"
J2785|"Injection, regadenoson, 0.1 mg"
J2788|"Injection, rho d immune globulin, human, minidose, 50 micrograms (250 i.u.)"
J2790|"Injection, rho d immune globulin, human, full dose, 300 micrograms (1500 i.u.)"
